Year,Value
188001,-0.31
188002,-0.71
188003,-0.75
188004,-0.42
188005,-0.24
188006,-0.18
188007,-0.29
188008,-0.24
188009,-0.46
188010,-0.72
188011,-0.91
188012,-0.59
188101,-0.55
188102,-0.49
188103,-0.23
188104,-0.14
188105,-0.07
188106,-0.55
188107,-0.33
188108,-0.12
188109,-0.47
188110,-0.86
188111,-0.98
188112,-0.26
188201,0.14
188202,-0.24
188203,-0.30
188204,-0.74
188205,-0.52
188206,-0.49
188207,-0.49
188208,-0.04
188209,-0.37
188210,-0.80
188211,-0.61
188212,-0.79
188301,-1.14
188302,-1.33
188303,-0.64
188304,-0.75
188305,-0.55
188306,-0.01
188307,-0.35
188308,-0.36
188309,-0.51
188310,-0.69
188311,-0.79
188312,-0.37
188401,-0.54
188402,-0.83
188403,-0.94
188404,-0.81
188405,-0.60
188406,-0.49
188407,-0.73
188408,-0.61
188409,-0.74
188410,-0.60
188411,-0.74
188412,-0.43
188501,-1.41
188502,-0.79
188503,-0.51
188504,-0.63
188505,-0.60
188506,-0.60
188507,-0.50
188508,-0.58
188509,-0.48
188510,-0.46
188511,-0.25
188512,0.23
188601,-0.49
188602,-1.01
188603,-0.65
188604,-0.37
188605,-0.43
188606,-0.49
188607,-0.19
188608,-0.33
188609,-0.37
188610,-0.76
188611,-0.69
188612,0.09
188701,-1.14
188702,-0.92
188703,-0.31
188704,-0.46
188705,-0.21
188706,-0.47
188707,-0.33
188708,-0.54
188709,-0.22
188710,-0.68
188711,-0.26
188712,-0.20
188801,-0.81
188802,-0.71
188803,-0.80
188804,-0.17
188805,-0.43
188806,-0.38
188807,-0.19
188808,-0.43
188809,-0.25
188810,-0.13
188811,-0.39
188812,-0.22
188901,-0.63
188902,-0.08
188903,0.12
188904,0.22
188905,-0.26
188906,-0.21
188907,-0.16
188908,-0.18
188909,-0.38
188910,-0.56
188911,-0.83
188912,-0.32
189001,-0.66
189002,-0.63
189003,-0.54
189004,-0.27
189005,-0.70
189006,-0.33
189007,-0.10
189008,-0.34
189009,-0.46
189010,-0.33
189011,-0.85
189012,-0.54
189101,-0.86
189102,-1.28
189103,-0.35
189104,-0.53
189105,-0.41
189106,-0.47
189107,-0.33
189108,-0.41
189109,-0.21
189110,-0.68
189111,-0.88
189112,0.11
189201,-0.60
189202,-0.29
189203,-0.62
189204,-0.72
189205,-0.45
189206,-0.27
189207,-0.33
189208,-0.32
189209,-0.24
189210,-0.22
189211,-1.08
189212,-0.77
189301,-1.94
189302,-1.64
189303,-0.25
189304,-0.54
189305,-0.54
189306,-0.29
189307,-0.15
189308,-0.36
189309,-0.18
189310,-0.28
189311,-0.12
189312,-0.34
189401,-0.80
189402,-0.11
189403,-0.11
189404,-0.65
189405,-0.32
189406,-0.48
189407,-0.38
189408,-0.36
189409,-0.39
189410,-0.48
189411,-0.63
189412,-0.38
189501,-1.17
189502,-0.97
189503,-0.40
189504,-0.07
189505,-0.38
189506,-0.38
189507,-0.27
189508,-0.37
189509,-0.21
189510,-0.21
189511,-0.31
189512,-0.19
189601,-0.23
189602,-0.25
189603,-0.71
189604,-0.79
189605,-0.25
189606,-0.16
189607,-0.12
189608,-0.16
189609,-0.25
189610,-0.05
189611,-0.92
189612,-0.27
189701,-0.67
189702,-0.58
189703,-0.87
189704,0.00
189705,0.08
189706,-0.13
189707,0.08
189708,-0.08
189709,0.06
189710,-0.21
189711,-0.38
189712,-0.49
189801,0.26
189802,-0.64
